id,question_text,question_pron,answer_text,answer_pron
32,術理、摂理、世の理、その万象…一切を原初に還さん。,じゅつり、せつり、よのことわり、そのばんしょう、いっさいをげんしょにかえさん。,破戒すべき全ての符,ルールブレイカー
33,最高のCooooooolをお見せしましょう！フフフハハハハハ！！ アーハハハハハハハハハハ！！,さいこうのクーーーーールをおみせしましょう！フフフハハハハハ！！ アーハハハハハハハハハハ！！,螺湮城教本,プレラーティーズ・スペルブック
34,ではお前の人生を書き上げよう。タイトルは……そう、,,貴方のための物語,メルヒェン・マイネスレーベンス
35,我が宝具の題名は、,,開演の刻は来たれり、此処に万雷の喝采を,ファースト・フォリオ
36,両目？ 脇腹？ 膝、脊髄。設置完了！,,微睡む爆弾,チクタク・ボム
37,聴くがいい！ 魔の響きを！,,死神のための葬送曲,レクイエム・フォー・デス
38,これぞ大軍師の究極陣地、,,石兵八陣,かえらずのじん
39,焼き尽くせ木々の巨人,,灼き尽くす炎の檻,ウィッカーマン
40,秘剣,,燕返し,つばめがえし
41,苦悶を溢せ――,,妄想心音,ザバーニーヤ
42,うふふ……覚悟はよろしいかしら。,,女神の微笑,スマイル・オブ・ザ・ステンノ
43,ここより己の死は恐れず、生も求めず、,,不還匕首,ただ、あやめるのみ
44,刑を執行する,,死は明日への希望なり,ラモール・エスポワール
45,歌え……歌え我が天使。,,地獄にこそ響け我が愛の唄,クリスティーヌ・クリスティーヌ
46,結び、開き、私という女に溺れて頂戴！,,陽の眼を持つ女,マタ・ハリ
47,全ては幻想のうち……けれど少女はこの箱に……,,幻想の鉄処女,ファントム・メイデン
48,血よ、血よ、血よ！ 永遠の美、久遠の宴、老醜は刻の果てに！,,幻想の鉄処女,ファントム・メイデン
49,■■■■■■────！■■■■■■────！,ゴォォォォォーッ！ゴォォォォォーッ！,射殺す百頭,ナインライブズ
50,■■■■■■────！■■■■■■────！,ガアォォォォォーッ！ガアォォォォォーッ！,射殺す百頭,ナインライブズ
51,Arrrthurrrrrr!,アーーーーーーサーーーーーーー！,騎士は徒手にて死せず,ナイト・オブ・オーナー
52,■■■■■■────！,ガァァッ！,軍神五兵,ゴッドフォース
53,ぬははははは！ 行くぞ！ 我が愛は！ 爆発するゥゥゥゥ！,ぬぁーっははははは！ ゆくぞ！ わがあいは！ ばくはつするゥゥゥゥ！,疵獣の咆吼,クライング・ウォーモンガー
54,吹き飛べ！必殺！,,黄金衝撃,ゴールデン・スパーク
55,血に塗れた我が人生をここに捧げようぞ。,,血塗れ王鬼,カズィクル・ベイ
56,まよえ……さまよえ……しねぇ……しねっ！！,,万古不易の迷宮,ケイオス・ラビュリントス
57,女神よ……おお、女神が見える……,,我が心を喰らえ、月の光,フルクティクルス・ディアーナ
58,ンンンンンムオォォォォォォォォォォォー！！,,不死の一万騎兵,アタナトイ・テン・サウザンド
59,これより逃げた大嘘つきを退治します。,,転身火生三昧,てんしんかしょうざんまい
60,ヌゥワワワワワワ！！ ブルゥララララララ！,,血塗れの戴冠式,ブラッドバス・クラウン
61,うん……というわけで皆殺しだワン！,,燦々日光午睡宮酒池肉林,さんさんにっこうひるやすみしゅちにくりん
62,我が旗よ、我が同胞を守りたまえ！,,我が神はここにありて,リュミノジテ・エテルネッル
63,宝具、展開します！,,仮想宝具 疑似展開／人理の礎,ロード・カルデアス
64,それは全ての疵、全ての怨恨を癒す我らが故郷───顕現せよ、,それはすべてのきず、すべてのえんこんをいやすわれらがこきょう。けんげんせよ、,いまは遙か理想の城,ロード・キャメロット
